year_mon,y
1910 Jan,54.919
1910 Feb,55.318
1910 Mar,85.966
1910 Apr,84.865
1910 May,98.544
1910 Jun,106.471
1910 Jul,84.352
1910 Aug,92.522
1910 Sep,76.631
1910 Oct,82.356
1910 Nov,68.003
1910 Dec,54.007
1911 Jan,60.741
1911 Feb,77.114
1911 Mar,93.519
1911 Apr,88.503
1911 May,79.155
1911 Jun,88.436
1911 Jul,90.554
1911 Aug,98.452
1911 Sep,88.379
1911 Oct,93.972
1911 Nov,70.818
1911 Dec,59.963
1912 Jan,70.169
1912 Feb,68.056
1912 Mar,83.693
1912 Apr,69.35
1912 May,78.932
1912 Jun,92.974
1912 Jul,96.345
1912 Aug,103.284
1912 Sep,93.015
1912 Oct,107.087
1912 Nov,73.692
1912 Dec,50.83
1913 Jan,55.387
1913 Feb,53.701
1913 Mar,77.178
1913 Apr,69.59
1913 May,83.476
1913 Jun,95.807
1913 Jul,102.473
1913 Aug,112.975
1913 Sep,107.999
1913 Oct,102.959
1913 Nov,70.674
1913 Dec,56.986
1914 Jan,69.904
1914 Feb,56.669
1914 Mar,67.227
1914 Apr,77.165
1914 May,89.096
1914 Jun,101.73
1914 Jul,104.204
1914 Aug,100.798
1914 Sep,96.841
1914 Oct,101.696
1914 Nov,83.239
1914 Dec,67.321
1915 Jan,68.218
1915 Feb,67.434
1915 Mar,73.768
1915 Apr,89.808
1915 May,70.27
1915 Jun,101.073
1915 Jul,105.851
1915 Aug,111.374
1915 Sep,109.289
1915 Oct,104.594
1915 Nov,69.496
1915 Dec,66.84
1916 Jan,66.645
1916 Feb,68.021
1916 Mar,87.25
1916 Apr,79.731
1916 May,96.942
1916 Jun,87.939
1916 Jul,111.229
1916 Aug,112.391
1916 Sep,109.166
1916 Oct,112.172
1916 Nov,74.641
1916 Dec,70.569
1917 Jan,59.967
1917 Feb,68.162
1917 Mar,69.555
1917 Apr,89.345
1917 May,99.699
1917 Jun,109.514
1917 Jul,108.668
1917 Aug,112.05
1917 Sep,97.208
1917 Oct,101.914
1917 Nov,79.387
1917 Dec,63.664
1918 Jan,69.366
1918 Feb,69.307
1918 Mar,75.146
1918 Apr,92.255
1918 May,106.413
1918 Jun,105.488
1918 Jul,110.381
1918 Aug,115.795
1918 Sep,106.392
